Tanggal;Kurs_Penutupan_USD_IDR;Log_Return
6/6/2023 23:58:00;14872;0,001514056
6/7/2023 23:58:00;14889;0,001142435
6/8/2023 23:58:00;14836;-0,003566026
6/9/2023 23:58:00;14885,6;0,003337643
6/12/2023 23:58:00;14871,5;-0,000947673
6/13/2023 23:58:00;14869;-0,000168121
6/14/2023 23:58:00;14909;0,002686549
6/15/2023 23:58:00;14897;-0,000805207
6/16/2023 23:58:00;14954;0,003818972
6/19/2023 23:58:00;15008;0,00360457
6/20/2023 23:58:00;15016;0,000532907
6/21/2023 23:58:00;14943;-0,004873337
6/22/2023 23:58:00;14935;-0,000535511
6/23/2023 23:58:00;15042,5;0,007172076
6/26/2023 23:58:00;15039;-0,000232701
6/27/2023 23:58:00;14982,5;-0,003763974
